text,url
Five-Year Plans,https://en.wikipedia.org/wiki/Five-Year_Plans_of_South_Korea
Saemaul Undong,https://en.wikipedia.org/wiki/Saemaul_Undong
Heavy-Chemical Industry Drive,https://en.wikipedia.org/wiki/Heavy-Chemical_Industry_Drive
Miracle on the Han River,https://en.wikipedia.org/wiki/Miracle_on_the_Han_River
1997 Asian financial crisis,https://en.wikipedia.org/wiki/1997_Asian_financial_crisis
Chaebol,https://en.wikipedia.org/wiki/Chaebol
Trade policy,https://en.wikipedia.org/wiki/Trade_policy_of_South_Korea
Currency,https://en.wikipedia.org/wiki/South_Korean_won
Communications,https://en.wikipedia.org/wiki/Telecommunications_in_South_Korea
Tourism,https://en.wikipedia.org/wiki/Tourism_in_South_Korea
Transportation,https://en.wikipedia.org/wiki/Transportation_in_South_Korea
Financial services,https://en.wikipedia.org/wiki/Financial_services_in_South_Korea
Energy,https://en.wikipedia.org/wiki/Energy_in_South_Korea
Regions by GDP per capita,https://en.wikipedia.org/wiki/List_of_South_Korean_regions_by_GDP
Seoul,https://en.wikipedia.org/wiki/Economy_of_Seoul
Science and technology,https://en.wikipedia.org/wiki/Science_and_technology_in_South_Korea
Cities,https://en.wikipedia.org/wiki/List_of_cities_in_South_Korea
highly developed,https://en.wikipedia.org/wiki/Developed_country
mixed economy,https://en.wikipedia.org/wiki/Mixed_economy
4th,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
13th,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
high-income,https://en.wikipedia.org/wiki/World_Bank_high-income_economy
Miracle on the Han River,https://en.wikipedia.org/wiki/Miracle_on_the_Han_River
OECD,https://en.wikipedia.org/wiki/OECD
G20,https://en.wikipedia.org/wiki/G20
Next Eleven,"https://en.wikipedia.org/wiki/Jim_O%27Neill,_Baron_O%27Neill_of_Gatley#Next_Eleven"
OECD,https://en.wikipedia.org/wiki/OECD
social security system,https://en.wikipedia.org/wiki/Welfare_in_South_Korea
roughly 15.5% of GDP,https://en.wikipedia.org/wiki/Welfare_state#Effects
around 4.93% of GDP,https://en.wikipedia.org/wiki/List_of_sovereign_states_by_research_and_development_spending
research and development,https://en.wikipedia.org/wiki/Research_and_development
education system,https://en.wikipedia.org/wiki/Education_in_South_Korea
ninth largest exporter,https://en.wikipedia.org/wiki/List_of_countries_by_exports
ninth largest importer,https://en.wikipedia.org/wiki/List_of_countries_by_imports
Bank of Korea,https://en.wikipedia.org/wiki/Bank_of_Korea
Korea Development Institute,https://en.wikipedia.org/wiki/Korea_Development_Institute
economic indicators,https://en.wikipedia.org/wiki/Economic_indicator
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
BRICS,https://en.wikipedia.org/wiki/BRICS
Indonesia,https://en.wikipedia.org/wiki/Indonesia
recession,https://en.wikipedia.org/wiki/Recession
Great Recession,https://en.wikipedia.org/wiki/Great_Recession
military crises,https://en.wikipedia.org/wiki/Korean_conflict
declining and ageing population,https://en.wikipedia.org/wiki/Demographics_of_South_Korea
fertility rate,https://en.wikipedia.org/wiki/Fertility_rate
Korean War,https://en.wikipedia.org/wiki/Korean_War
Japan colonized,https://en.wikipedia.org/wiki/Korea_under_Japanese_rule
officially annexing it,https://en.wikipedia.org/wiki/Japan%E2%80%93Korea_Treaty_of_1910
Juche,https://en.wikipedia.org/wiki/Juche
the coup,https://en.wikipedia.org/wiki/May_16_coup
Park Chung Hee,https://en.wikipedia.org/wiki/Park_Chung_Hee
protectionist,https://en.wikipedia.org/wiki/Protectionist
export-oriented industrialisation,https://en.wikipedia.org/wiki/Export-oriented_industrialization
chaebols,https://en.wikipedia.org/wiki/Chaebol
Hyundai,https://en.wikipedia.org/wiki/Hyundai_Group
Samsung,https://en.wikipedia.org/wiki/Samsung
LG Corporation,https://en.wikipedia.org/wiki/LG
GNP,https://en.wikipedia.org/wiki/Gross_national_income
