text,url
developing,https://en.wikipedia.org/wiki/Developing_economy
mixed,https://en.wikipedia.org/wiki/Mixed_economy
socialist-oriented market economy,https://en.wikipedia.org/wiki/Socialist-oriented_market_economy
33rd-largest economy,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
nominal gross domestic product,https://en.wikipedia.org/wiki/Nominal_gross_domestic_product
26th-largest economy,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)
purchasing power parity,https://en.wikipedia.org/wiki/Purchasing_power_parity
Vietnam,https://en.wikipedia.org/wiki/Vietnam
Asia-Pacific Economic Cooperation,https://en.wikipedia.org/wiki/Asia-Pacific_Economic_Cooperation
Association of Southeast Asian Nations,https://en.wikipedia.org/wiki/Association_of_Southeast_Asian_Nations
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
Đổi Mới,https://en.wikipedia.org/wiki/%C4%90%E1%BB%95i_M%E1%BB%9Bi
highly centralized,https://en.wikipedia.org/wiki/Centralization
planned economy,https://en.wikipedia.org/wiki/Planned_economy
mixed economy,https://en.wikipedia.org/wiki/Mixed_economy
South Vietnam,https://en.wikipedia.org/wiki/South_Vietnam
North Vietnam,https://en.wikipedia.org/wiki/North_Vietnam
Soviet Union's dissolution,https://en.wikipedia.org/wiki/Dissolution_of_the_Soviet_Union
indicative planning,https://en.wikipedia.org/wiki/Indicative_planning
five-year plans,https://en.wikipedia.org/wiki/Five-Year_Plans_of_Vietnam
market-based economy,https://en.wikipedia.org/wiki/Market_economy
SMEs,https://en.wikipedia.org/wiki/Small_and_medium_enterprises
Southeast Asia,https://en.wikipedia.org/wiki/Southeast_Asia
PricewaterhouseCoopers,https://en.wikipedia.org/wiki/PricewaterhouseCoopers
Next Eleven,"https://en.wikipedia.org/wiki/Jim_O%27Neill,_Baron_O%27Neill_of_Gatley#Next_Eleven"
CIVETS,https://en.wikipedia.org/wiki/CIVETS
agriculture,https://en.wikipedia.org/wiki/Agriculture
physiocracy,https://en.wikipedia.org/wiki/Physiocracy
dykes,https://en.wikipedia.org/wiki/Dike_(construction)
Red River Delta,https://en.wikipedia.org/wiki/Red_River_Delta
Hanoi,https://en.wikipedia.org/wiki/Hanoi
Song dynasty,https://en.wikipedia.org/wiki/Song_dynasty
Champa,https://en.wikipedia.org/wiki/Champa
Western Xia,https://en.wikipedia.org/wiki/Western_Xia
Java,https://en.wikipedia.org/wiki/Java
Confucianism,https://en.wikipedia.org/wiki/Confucianism
Lê,https://en.wikipedia.org/wiki/L%C3%AA_dynasty
Mạc,https://en.wikipedia.org/wiki/M%E1%BA%A1c_dynasty
Dong Kinh,https://en.wikipedia.org/wiki/Dong_Kinh
Hội An,https://en.wikipedia.org/wiki/H%E1%BB%99i_An
Tay Son,https://en.wikipedia.org/wiki/Tay_Son
Gia Long,https://en.wikipedia.org/wiki/Gia_Long
Nguyễn dynasty,https://en.wikipedia.org/wiki/Nguy%E1%BB%85n_dynasty
French colonization,https://en.wikipedia.org/wiki/French_Indochina
South,https://en.wikipedia.org/wiki/Cochinchina
North,https://en.wikipedia.org/wiki/Tonkin
divided politically in 1954,https://en.wikipedia.org/wiki/Geneva_Conference_(1954)
Second Indochina War,https://en.wikipedia.org/wiki/Second_Indochina_War
Republic of Vietnam,https://en.wikipedia.org/wiki/South_Vietnam
Democratic Republic of Vietnam,https://en.wikipedia.org/wiki/North_Vietnam
Second Five-Year Plan,https://en.wikipedia.org/wiki/Five-Year_Plans_of_Vietnam#The_Second_Five-Year_Plan_(1976–80)
productivity,https://en.wikipedia.org/wiki/Productivity
Third Five-Year Plan,https://en.wikipedia.org/wiki/Five-year_plans_of_Vietnam#The_Third_Five_Year_Plan_(1981–85)
Comecon,https://en.wikipedia.org/wiki/Comecon
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
Đổi Mới,https://en.wikipedia.org/wiki/%C4%90%E1%BB%95i_M%E1%BB%9Bi
socialist-oriented market economy,https://en.wikipedia.org/wiki/Socialist-oriented_market_economy
