text,url
France,https://en.wikipedia.org/wiki/France
Gabon,https://en.wikipedia.org/wiki/Gabon
per capita income,https://en.wikipedia.org/wiki/Per_capita_income
Africa,https://en.wikipedia.org/wiki/List_of_African_countries_by_GDP_(PPP)_per_capita
extreme poverty,https://en.wikipedia.org/wiki/Extreme_poverty
Gabon,https://en.wikipedia.org/wiki/Gabon
free market economy,https://en.wikipedia.org/wiki/Free_markets
Gabon,https://en.wikipedia.org/wiki/Gabon
mixed economic system,https://en.wikipedia.org/wiki/Mixed_economy
manganese,https://en.wikipedia.org/wiki/Manganese
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
iron ore,https://en.wikipedia.org/wiki/Iron_ore
Belinga,https://en.wikipedia.org/wiki/Belinga
China,https://en.wikipedia.org/wiki/China
agriculture,https://en.wikipedia.org/wiki/Agriculture
services,https://en.wikipedia.org/wiki/Tertiary_sector_of_economic_activity
government,https://en.wikipedia.org/wiki/Forms_of_government
industry,https://en.wikipedia.org/wiki/Industrial_sector
commerce,https://en.wikipedia.org/wiki/Commerce
food,https://en.wikipedia.org/wiki/Food
beverage,https://en.wikipedia.org/wiki/Beverage
textile,https://en.wikipedia.org/wiki/Textile
lumbering,https://en.wikipedia.org/wiki/Lumbering
plywood,https://en.wikipedia.org/wiki/Plywood
cement,https://en.wikipedia.org/wiki/Cement
petroleum extraction,https://en.wikipedia.org/wiki/Petroleum_extraction
refining,https://en.wikipedia.org/wiki/Oil_refinery
manganese,https://en.wikipedia.org/wiki/Manganese
uranium,https://en.wikipedia.org/wiki/Uranium
gold mining,https://en.wikipedia.org/wiki/Gold_mining
chemical production,https://en.wikipedia.org/wiki/Chemical_industry
ship repair,https://en.wikipedia.org/wiki/Ship_repair
cocoa,https://en.wikipedia.org/wiki/Cocoa_bean
coffee,https://en.wikipedia.org/wiki/Coffee
sugar,https://en.wikipedia.org/wiki/Sugar
palm oil,https://en.wikipedia.org/wiki/Palm_oil
rubber,https://en.wikipedia.org/wiki/Rubber
cattle,https://en.wikipedia.org/wiki/Cattle
okoume,https://en.wikipedia.org/wiki/Aucoumea_klaineana
hardwood,https://en.wikipedia.org/wiki/Hardwood
fish,https://en.wikipedia.org/wiki/Fish
franc,https://en.wikipedia.org/wiki/Franc
CFAF,https://en.wikipedia.org/wiki/CFAF
centimes,https://en.wikipedia.org/wiki/Centime
Economy of Africa,https://en.wikipedia.org/wiki/Economy_of_Africa
List of companies based in Gabon,https://en.wikipedia.org/wiki/List_of_companies_based_in_Gabon
Transport in Gabon,https://en.wikipedia.org/wiki/Transport_in_Gabon
Chronology of Gabon,https://en.wikipedia.org/wiki/Chronology_of_Gabon
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
CIA World Factbook,https://en.wikipedia.org/wiki/CIA_World_Factbook
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
