text,url
Palau,https://en.wikipedia.org/wiki/Palau
tourism,https://en.wikipedia.org/wiki/Tourism
subsistence agriculture,https://en.wikipedia.org/wiki/Subsistence_agriculture
United States,https://en.wikipedia.org/wiki/United_States
Philippines,https://en.wikipedia.org/wiki/Philippines
Micronesia,https://en.wikipedia.org/wiki/Micronesia
East Asian,https://en.wikipedia.org/wiki/East_Asia
per capita GDP,https://en.wikipedia.org/wiki/Per_capita_GDP
Nominal GDP,https://en.wikipedia.org/wiki/Nominal_GDP
1997 Asian financial crisis,https://en.wikipedia.org/wiki/1997_Asian_financial_crisis
Tourism,https://en.wikipedia.org/wiki/Tourism
scuba diving,https://en.wikipedia.org/wiki/Scuba_diving
snorkeling,https://en.wikipedia.org/wiki/Snorkeling
Koror,https://en.wikipedia.org/wiki/Koror
German Channel,https://en.wikipedia.org/wiki/German_Channel
Blue Corner,https://en.wikipedia.org/wiki/Blue_Corner
Japan,https://en.wikipedia.org/wiki/Japan
Taiwan,https://en.wikipedia.org/wiki/Republic_of_China
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
Compact of Free Association,https://en.wikipedia.org/wiki/Compact_of_Free_Association
Babeldaob,https://en.wikipedia.org/wiki/Babeldaob
Patent,https://en.wikipedia.org/wiki/Patent
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
1997 Asian Financial Crisis,https://en.wikipedia.org/wiki/1997_Asian_Financial_Crisis
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
Asian Development Bank,https://en.wikipedia.org/wiki/Asian_Development_Bank
sustainable tourism,https://en.wikipedia.org/wiki/Sustainable_tourism
purchasing power parity,https://en.wikipedia.org/wiki/Purchasing_power_parity
copra,https://en.wikipedia.org/wiki/Copra
cassava,https://en.wikipedia.org/wiki/Cassava
trochus,https://en.wikipedia.org/wiki/Trochus
highest external debt,https://en.wikipedia.org/wiki/List_of_countries_by_external_debt
trusteeship,https://en.wikipedia.org/wiki/Trusteeship
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
