text,url
Samoa,https://en.wikipedia.org/wiki/Samoa
development aid,https://en.wikipedia.org/wiki/Development_aid
coconut oil,https://en.wikipedia.org/wiki/Coconut_oil
copra,https://en.wikipedia.org/wiki/Copra
wire harness,https://en.wikipedia.org/wiki/Wire_harness
manufacturing sector,https://en.wikipedia.org/wiki/Secondary_sector_of_industry
fiscal discipline,https://en.wikipedia.org/wiki/Fiscal_discipline
labor market,https://en.wikipedia.org/wiki/Labour_economics
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
American Samoa,https://en.wikipedia.org/wiki/American_Samoa
fisheries industry,https://en.wikipedia.org/wiki/Fishing_industry
Asau,"https://en.wikipedia.org/wiki/Asau,_Samoa"
official development assistance,https://en.wikipedia.org/wiki/Official_development_assistance
trade deficit,https://en.wikipedia.org/wiki/Trade_deficit
"Potlatch Forests, Inc.","https://en.wikipedia.org/wiki/Potlatch_Forests,_Inc."
Asau,"https://en.wikipedia.org/wiki/Asau,_Samoa"
Savai'i,https://en.wikipedia.org/wiki/Savai%27i
hardwoods,https://en.wikipedia.org/wiki/Hardwoods
ghost town,https://en.wikipedia.org/wiki/Ghost_town
coconut,https://en.wikipedia.org/wiki/Coconut
taro,https://en.wikipedia.org/wiki/Taro
banana,https://en.wikipedia.org/wiki/Banana
yam,https://en.wikipedia.org/wiki/Yam_(vegetable)
pineapple,https://en.wikipedia.org/wiki/Pineapple
mango,https://en.wikipedia.org/wiki/Mango
mangosteen,https://en.wikipedia.org/wiki/Mangosteen
guava,https://en.wikipedia.org/wiki/Guava
papaya,https://en.wikipedia.org/wiki/Papaya
economic downturn,https://en.wikipedia.org/wiki/Recession
foreign investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
cyclones,https://en.wikipedia.org/wiki/Cyclone
Cyclone Ofa,https://en.wikipedia.org/wiki/Cyclone_Ofa
Cyclone Val,https://en.wikipedia.org/wiki/Cyclone_Val
island state,https://en.wikipedia.org/wiki/Island_nation
global climate change,https://en.wikipedia.org/wiki/Climate_change
national airline,https://en.wikipedia.org/wiki/Flag_carrier
Polynesian Airlines,https://en.wikipedia.org/wiki/Polynesian_Airlines
Taro,https://en.wikipedia.org/wiki/Taro
root crop,https://en.wikipedia.org/wiki/Root_vegetable
financial crisis,https://en.wikipedia.org/wiki/Financial_crisis
exchange controls,https://en.wikipedia.org/wiki/Foreign_exchange_controls
taro,https://en.wikipedia.org/wiki/Taro
coconut cream,https://en.wikipedia.org/wiki/Coconut_cream
political strife,https://en.wikipedia.org/wiki/2000_Fijian_coup_d%27%C3%A9tat
Fiji,https://en.wikipedia.org/wiki/Fiji
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Oceania
service sector,https://en.wikipedia.org/wiki/Tertiary_sector_of_industry
purchasing power,https://en.wikipedia.org/wiki/Purchasing_power
auto parts,https://en.wikipedia.org/wiki/Auto_part
building materials,https://en.wikipedia.org/wiki/Building_material
coconuts,https://en.wikipedia.org/wiki/Coconut
taro,https://en.wikipedia.org/wiki/Taro
yams,https://en.wikipedia.org/wiki/Yam_(vegetable)
cocoa,https://en.wikipedia.org/wiki/Cocoa_bean
coconut,https://en.wikipedia.org/wiki/Coconut
copra,https://en.wikipedia.org/wiki/Copra
American Samoa,https://en.wikipedia.org/wiki/American_Samoa
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
World Bank,https://en.wikipedia.org/wiki/World_Bank
