text,url
government of the Marshall Islands,https://en.wikipedia.org/wiki/Government_of_the_Marshall_Islands
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
United States,https://en.wikipedia.org/wiki/United_States
Compact of Free Association,https://en.wikipedia.org/wiki/Compact_of_Free_Association
Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands
Compact of Free Association,https://en.wikipedia.org/wiki/Compact_of_Free_Association
central bank,https://en.wikipedia.org/wiki/Central_bank
Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump
announced,https://en.wikipedia.org/wiki/Tariffs_in_the_second_Trump_administration
tariff,https://en.wikipedia.org/wiki/Tariff
fishing,https://en.wikipedia.org/wiki/Fishing
breadfruit,https://en.wikipedia.org/wiki/Breadfruit
banana,https://en.wikipedia.org/wiki/Banana
taro,https://en.wikipedia.org/wiki/Taro
pandanus,https://en.wikipedia.org/wiki/Pandanus
copra,https://en.wikipedia.org/wiki/Copra
handicrafts,https://en.wikipedia.org/wiki/Handicraft
Majuro,https://en.wikipedia.org/wiki/Majuro
Ebeye,https://en.wikipedia.org/wiki/Ebeye
U.S. Army,https://en.wikipedia.org/wiki/U.S._Army
Kwajalein Atoll,https://en.wikipedia.org/wiki/Kwajalein_Atoll
wholesale,https://en.wikipedia.org/wiki/Wholesale
retail,https://en.wikipedia.org/wiki/Retail
trade,https://en.wikipedia.org/wiki/Trade
restaurants,https://en.wikipedia.org/wiki/Restaurant
banking,https://en.wikipedia.org/wiki/Banking
insurance,https://en.wikipedia.org/wiki/Insurance
tuna,https://en.wikipedia.org/wiki/Tuna
Copra,https://en.wikipedia.org/wiki/Copra
fishing,https://en.wikipedia.org/wiki/Fishing_industry_in_the_Marshall_Islands
fishing rights,https://en.wikipedia.org/wiki/Exclusive_economic_zone
ship registrations,https://en.wikipedia.org/wiki/Ship_registration
foodstuffs,https://en.wikipedia.org/wiki/Foodstuff
petroleum products,https://en.wikipedia.org/wiki/Petroleum_products
bilateral trade agreement,https://en.wikipedia.org/wiki/Free_trade_agreement
coconut oil,https://en.wikipedia.org/wiki/Coconut_oil
diesel fuel,https://en.wikipedia.org/wiki/Diesel_fuel
copra,https://en.wikipedia.org/wiki/Copra
Sovereign Currency Act of 2018,https://en.wikipedia.org/wiki/Sovereign_Currency_Act_of_2018
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Algorand,https://en.wikipedia.org/wiki/Algorand
ledger,https://en.wikipedia.org/wiki/Ledger
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
coconuts,https://en.wikipedia.org/wiki/Coconut
cacao,https://en.wikipedia.org/wiki/Cocoa_bean
taro,https://en.wikipedia.org/wiki/Taro
breadfruit,https://en.wikipedia.org/wiki/Breadfruit
pigs,https://en.wikipedia.org/wiki/Pig
chickens,https://en.wikipedia.org/wiki/Chicken
coconut,https://en.wikipedia.org/wiki/Coconut
United States,https://en.wikipedia.org/wiki/United_States
Japan,https://en.wikipedia.org/wiki/Japan
Australia,https://en.wikipedia.org/wiki/Australia
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
tobacco,https://en.wikipedia.org/wiki/Tobacco
United States,https://en.wikipedia.org/wiki/United_States
Japan,https://en.wikipedia.org/wiki/Japan
Australia,https://en.wikipedia.org/wiki/Australia
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Guam,https://en.wikipedia.org/wiki/Guam
Singapore,https://en.wikipedia.org/wiki/Singapore
Ministry of Finance (Marshall Islands),https://en.wikipedia.org/wiki/Ministry_of_Finance_(Marshall_Islands)
Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Agence France-Presse,https://en.wikipedia.org/wiki/Agence_France-Presse
The Guardian,https://en.wikipedia.org/wiki/The_Guardian
