text,url
Denmark,https://en.wikipedia.org/wiki/Denmark
high-income,https://en.wikipedia.org/wiki/World_Bank_high-income_economy
highly developed,https://en.wikipedia.org/wiki/Developed_country
mixed economy,https://en.wikipedia.org/wiki/Mixed_economy
service sector,https://en.wikipedia.org/wiki/Service_sector
gross national income,https://en.wikipedia.org/wiki/Gross_national_income
Int$,https://en.wikipedia.org/wiki/International_dollar
Gini coefficient,https://en.wikipedia.org/wiki/Gini_coefficient
European Union,https://en.wikipedia.org/wiki/European_Union
38th largest national economy,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
purchasing power parity,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)
OECD,https://en.wikipedia.org/wiki/OECD
strong social security system,https://en.wikipedia.org/wiki/Nordic_model
roughly 26.2% of GDP,https://en.wikipedia.org/wiki/Welfare_state#Effects
fixed exchange-rate system,https://en.wikipedia.org/wiki/Fixed_exchange-rate_system
Danish Krone,https://en.wikipedia.org/wiki/Danish_krone
euro,https://en.wikipedia.org/wiki/Euro
Economic and Monetary Union,https://en.wikipedia.org/wiki/Economic_and_Monetary_Union_of_the_European_Union
referendum in 2000,https://en.wikipedia.org/wiki/2000_Danish_euro_referendum
inflation targeting,https://en.wikipedia.org/wiki/Inflation_targeting
union membership,https://en.wikipedia.org/wiki/Union_membership
collective agreement coverage,https://en.wikipedia.org/wiki/Collective_agreement_coverage
active labor market policies,https://en.wikipedia.org/wiki/Active_Labor_Market_Policies_in_Denmark
flexicurity,https://en.wikipedia.org/wiki/Flexicurity
Nordic model,https://en.wikipedia.org/wiki/Nordic_model
income transfers,https://en.wikipedia.org/wiki/Transfer_payment
fiscal sustainability,https://en.wikipedia.org/wiki/Fiscal_sustainability
subsistence level,https://en.wikipedia.org/wiki/Subsistence_level
penning,https://en.wikipedia.org/wiki/Norwegian_penning
Valdemar I of Denmark,https://en.wikipedia.org/wiki/Valdemar_I_of_Denmark
Stone Age,https://en.wikipedia.org/wiki/Stone_Age
value added,https://en.wikipedia.org/wiki/Value_added
payments,https://en.wikipedia.org/wiki/Payment
Svend Tveskæg,https://en.wikipedia.org/wiki/Svend_Tvesk%C3%A6g
Otto Thott,https://en.wikipedia.org/wiki/Otto_Thott
mercantilist,https://en.wikipedia.org/wiki/Mercantilist
Sound Toll,https://en.wikipedia.org/wiki/Sound_Toll
Angus Maddison,https://en.wikipedia.org/wiki/Angus_Maddison
Mercantilism,https://en.wikipedia.org/wiki/Mercantilism
Asiatisk Kompagni,https://en.wikipedia.org/wiki/Asiatisk_Kompagni
Kurantbanken,https://en.wikipedia.org/wiki/Kurantbanken
kreditforening,https://en.wikipedia.org/wiki/Mortgage_industry_of_Denmark
building society,https://en.wikipedia.org/wiki/Building_society
Tranquebar,https://en.wikipedia.org/wiki/Tranquebar
Danmarks Nationalbank,https://en.wikipedia.org/wiki/Danmarks_Nationalbank
national accounting,https://en.wikipedia.org/wiki/National_accounting
IMF,https://en.wikipedia.org/wiki/IMF
WTO,https://en.wikipedia.org/wiki/WTO
European Economic Community,https://en.wikipedia.org/wiki/European_Economic_Community
European Union,https://en.wikipedia.org/wiki/European_Union
1973 oil crisis,https://en.wikipedia.org/wiki/1973_oil_crisis
stagflation,https://en.wikipedia.org/wiki/Stagflation
active labour market policies,https://en.wikipedia.org/wiki/Active_labour_market_policies
structural unemployment,https://en.wikipedia.org/wiki/Structural_unemployment
fiscal sustainability,https://en.wikipedia.org/wiki/Fiscal_sustainability
inequality,https://en.wikipedia.org/wiki/Economic_inequality
income distribution,https://en.wikipedia.org/wiki/Income_distribution
public debate,https://en.wikipedia.org/wiki/Public_debate
Great Recession,https://en.wikipedia.org/wiki/Great_Recession
Euro area debt crisis,https://en.wikipedia.org/wiki/Euro_area_crisis
overheating situation,https://en.wikipedia.org/wiki/Overheating_(economics)
Novo Nordisk,https://en.wikipedia.org/wiki/Novo_Nordisk
Ozempic,https://en.wikipedia.org/wiki/Ozempic
Wegovy,https://en.wikipedia.org/wiki/Wegovy
LVMH,https://en.wikipedia.org/wiki/LVMH
corporate taxes,https://en.wikipedia.org/wiki/Corporate_tax
business cycle,https://en.wikipedia.org/wiki/Business_cycle
economy of Finland,https://en.wikipedia.org/wiki/Economy_of_Finland
Nokia,https://en.wikipedia.org/wiki/Nokia
Dutch disease,https://en.wikipedia.org/wiki/Dutch_disease
World Bank,https://en.wikipedia.org/wiki/World_Bank
gross national income,https://en.wikipedia.org/wiki/Gross_national_income
Int$,https://en.wikipedia.org/wiki/Geary%E2%80%93Khamis_dollar
saving rates,https://en.wikipedia.org/wiki/Saving_rate
tax reforms,https://en.wikipedia.org/wiki/Tax_reform
tax deductions,https://en.wikipedia.org/wiki/Tax_deduction
pension funds,https://en.wikipedia.org/wiki/Pension_fund
disposable income,https://en.wikipedia.org/wiki/Disposable_income
balance sheets,https://en.wikipedia.org/wiki/Balance_sheets
financial system,https://en.wikipedia.org/wiki/Financial_system
Income inequality,https://en.wikipedia.org/wiki/Income_inequality
Gini coefficient,https://en.wikipedia.org/wiki/Gini_coefficient
Gini coefficient,https://en.wikipedia.org/wiki/Gini_coefficient
Eurostat,https://en.wikipedia.org/wiki/Eurostat
union membership,https://en.wikipedia.org/wiki/Union_membership
collective agreement coverage,https://en.wikipedia.org/wiki/Collective_agreement_coverage
Danish Confederation of Trade Unions,https://en.wikipedia.org/wiki/Danish_Confederation_of_Trade_Unions
flexicurity,https://en.wikipedia.org/wiki/Flexicurity
labour market flexibility,https://en.wikipedia.org/wiki/Labour_market_flexibility
active labour market policies,https://en.wikipedia.org/wiki/Active_labour_market_policies
active labour market policies,https://en.wikipedia.org/wiki/Active_labour_market_policies
OECD,https://en.wikipedia.org/wiki/OECD
active labour market policies,https://en.wikipedia.org/wiki/Active_labour_market_policies
youth unemployment,https://en.wikipedia.org/wiki/Youth_unemployment
active labour market policies,https://en.wikipedia.org/wiki/Active_labour_market_policies
minimum wage,https://en.wikipedia.org/wiki/Minimum_wage
