text,url
War of Independence,https://en.wikipedia.org/wiki/Eritrean_War_of_Independence
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
remittances,https://en.wikipedia.org/wiki/Remittance
Eritrea,https://en.wikipedia.org/wiki/Eritrea
agriculture,https://en.wikipedia.org/wiki/Agriculture
sorghum,https://en.wikipedia.org/wiki/Sorghum
barley,https://en.wikipedia.org/wiki/Barley
beans,https://en.wikipedia.org/wiki/Beans
dairy products,https://en.wikipedia.org/wiki/Dairy_products
lentils,https://en.wikipedia.org/wiki/Lentil
meat,https://en.wikipedia.org/wiki/Meat
millet,https://en.wikipedia.org/wiki/Millet
leather,https://en.wikipedia.org/wiki/Skinning
teff,https://en.wikipedia.org/wiki/Teff
wheat,https://en.wikipedia.org/wiki/Wheat
land mines,https://en.wikipedia.org/wiki/Land_mines
Forestry,https://en.wikipedia.org/wiki/Forestry
fishing industry,https://en.wikipedia.org/wiki/Fishing_industry
Massawa,https://en.wikipedia.org/wiki/Massawa
Britain,https://en.wikipedia.org/wiki/United_Kingdom
Germany,https://en.wikipedia.org/wiki/Germany
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Yemen,https://en.wikipedia.org/wiki/Yemen
Red Sea,https://en.wikipedia.org/wiki/Red_Sea
artisanal mining,https://en.wikipedia.org/wiki/Artisanal_mining
gold,https://en.wikipedia.org/wiki/Gold
Arabian-Nubian Shield,https://en.wikipedia.org/wiki/Arabian-Nubian_Shield
Nevsun Resources,https://en.wikipedia.org/wiki/Nevsun_Resources
Sichuan Road and Bridge Group,https://en.wikipedia.org/wiki/Sichuan_Road_and_Bridge_Group
Electricity production,https://en.wikipedia.org/wiki/Electricity_production
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Kuwait,https://en.wikipedia.org/wiki/Kuwait
Abu Dhabi,https://en.wikipedia.org/wiki/Abu_Dhabi
Wind energy,https://en.wikipedia.org/wiki/Wind_energy
solar power,https://en.wikipedia.org/wiki/Solar_power
National Bank of Eritrea,https://en.wikipedia.org/wiki/National_Bank_of_Eritrea
tensions that flare up between Eritrea and Ethiopia,https://en.wikipedia.org/wiki/Eritrea-Ethiopia_relations
tourist industry,https://en.wikipedia.org/wiki/Tourist_industry
World Tourism Organization,https://en.wikipedia.org/wiki/World_Tourism_Organization
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Eritrean nakfa,https://en.wikipedia.org/wiki/Eritrean_nakfa
Inflation,https://en.wikipedia.org/wiki/Inflation
Wefri Warsay Yika'alo,https://en.wikipedia.org/wiki/Wefri_Warsay_Yika%27alo
China,https://en.wikipedia.org/wiki/China
India,https://en.wikipedia.org/wiki/India
South Korea,https://en.wikipedia.org/wiki/South_Korea
Italy,https://en.wikipedia.org/wiki/Italy
South Africa,https://en.wikipedia.org/wiki/South_Africa
Germany,https://en.wikipedia.org/wiki/Germany
World Bank,https://en.wikipedia.org/wiki/World_Bank
Isaias Afwerki,https://en.wikipedia.org/wiki/Isaias_Afwerki
Abiy Ahmed,https://en.wikipedia.org/wiki/Abiy_Ahmed
Eritrea,https://en.wikipedia.org/wiki/Eritrea
Banking in Eritrea,https://en.wikipedia.org/wiki/Banking_in_Eritrea
List of companies based in Eritrea,https://en.wikipedia.org/wiki/List_of_companies_based_in_Eritrea
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
Library of Congress,https://en.wikipedia.org/wiki/Library_of_Congress
Federal Research Division,https://en.wikipedia.org/wiki/Federal_Research_Division
CIA,https://en.wikipedia.org/wiki/CIA
