text,url
Tonga,https://en.wikipedia.org/wiki/Tonga
telecommunications,https://en.wikipedia.org/wiki/Telecommunications
Tongatapu,https://en.wikipedia.org/wiki/Tongatapu
Chinese,https://en.wikipedia.org/wiki/Overseas_Chinese
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
South Pacific,https://en.wikipedia.org/wiki/Oceania
subsistence agriculture,https://en.wikipedia.org/wiki/Subsistence_agriculture
Coconuts,https://en.wikipedia.org/wiki/Coconut
vanilla,https://en.wikipedia.org/wiki/Vanilla
bananas,https://en.wikipedia.org/wiki/Banana
copra,https://en.wikipedia.org/wiki/Copra
Pigs,https://en.wikipedia.org/wiki/Pig
poultry,https://en.wikipedia.org/wiki/Poultry
Horses,https://en.wikipedia.org/wiki/Horse
private sector,https://en.wikipedia.org/wiki/Private_sector
squash,https://en.wikipedia.org/wiki/Squash_(vegetable)
skipjack tuna,https://en.wikipedia.org/wiki/Skipjack_tuna
Nukuʻalofa,https://en.wikipedia.org/wiki/Nuku%CA%BBalofa
Vava'u,https://en.wikipedia.org/wiki/Vava%27u
Tongan,https://en.wikipedia.org/wiki/Tonga
Squash,https://en.wikipedia.org/wiki/Squash_(vegetable)
coconuts,https://en.wikipedia.org/wiki/Coconut
bananas,https://en.wikipedia.org/wiki/Banana
vanilla,https://en.wikipedia.org/wiki/Vanilla
Tourism,https://en.wikipedia.org/wiki/Tourism
hard currency,https://en.wikipedia.org/wiki/Hard_currency
Electricity,https://en.wikipedia.org/wiki/Electricity
GW·h,https://en.wikipedia.org/wiki/GW%C2%B7h
fossil fuel,https://en.wikipedia.org/wiki/Fossil_fuel
renewables,https://en.wikipedia.org/wiki/Renewable_energy
Maama Mai Solar Farm,https://en.wikipedia.org/wiki/Maama_Mai_Solar_Farm
Tongatapu,https://en.wikipedia.org/wiki/Tongatapu
grid batteries,https://en.wikipedia.org/wiki/Battery_storage_power_station
'Eua,https://en.wikipedia.org/wiki/%27Eua
Vava'u,https://en.wikipedia.org/wiki/Vava%27u
squash,https://en.wikipedia.org/wiki/Squash_(vegetable)
coconuts,https://en.wikipedia.org/wiki/Coconut
copra,https://en.wikipedia.org/wiki/Copra
bananas,https://en.wikipedia.org/wiki/Banana
vanilla,https://en.wikipedia.org/wiki/Vanilla
cocoa,https://en.wikipedia.org/wiki/Cocoa_bean
coffee,https://en.wikipedia.org/wiki/Coffee
ginger,https://en.wikipedia.org/wiki/Ginger
black pepper,https://en.wikipedia.org/wiki/Black_pepper
fish,https://en.wikipedia.org/wiki/Fish
coconut,https://en.wikipedia.org/wiki/Coconut
squash,https://en.wikipedia.org/wiki/Squash_(vegetable)
cassava,https://en.wikipedia.org/wiki/Cassava
sweet potato,https://en.wikipedia.org/wiki/Sweet_potato
vegetable,https://en.wikipedia.org/wiki/Vegetable
yam,https://en.wikipedia.org/wiki/Yam_(vegetable)
Currency,https://en.wikipedia.org/wiki/Currency
pa'anga,https://en.wikipedia.org/wiki/Pa%27anga
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
