text,url
World Factbook,https://en.wikipedia.org/wiki/The_World_Factbook
Africa,https://en.wikipedia.org/wiki/Africa
exports,https://en.wikipedia.org/wiki/Export
petroleum,https://en.wikipedia.org/wiki/Petroleum
cocoa,https://en.wikipedia.org/wiki/Cocoa_bean
coffee,https://en.wikipedia.org/wiki/Coffee
cotton,https://en.wikipedia.org/wiki/Cotton
currency,https://en.wikipedia.org/wiki/Currency
recession,https://en.wikipedia.org/wiki/Recession
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
deficits,https://en.wikipedia.org/wiki/Government_budget_deficit
foreign debt,https://en.wikipedia.org/wiki/Foreign_debt
oil reserves,https://en.wikipedia.org/wiki/Oil_reserves
Cameroon,https://en.wikipedia.org/wiki/Cameroon
sub-Saharan Africa,https://en.wikipedia.org/wiki/Sub-Saharan_Africa
cassava,https://en.wikipedia.org/wiki/Cassava
plantain,https://en.wikipedia.org/wiki/Cooking_banana
palm oil,https://en.wikipedia.org/wiki/Palm_oil
maize,https://en.wikipedia.org/wiki/Maize
taro,https://en.wikipedia.org/wiki/Taro
sorghum,https://en.wikipedia.org/wiki/Sorghum
banana,https://en.wikipedia.org/wiki/Banana
sugarcane,https://en.wikipedia.org/wiki/Sugarcane
tomato,https://en.wikipedia.org/wiki/Tomato
yam,https://en.wikipedia.org/wiki/Yam_(vegetable)
peanut,https://en.wikipedia.org/wiki/Peanut
sweet potato,https://en.wikipedia.org/wiki/Sweet_potato
beans,https://en.wikipedia.org/wiki/Bean
rice,https://en.wikipedia.org/wiki/Rice
pineapple,https://en.wikipedia.org/wiki/Pineapple
cocoa,https://en.wikipedia.org/wiki/Cocoa_bean
potato,https://en.wikipedia.org/wiki/Potato
onion,https://en.wikipedia.org/wiki/Onion
cotton,https://en.wikipedia.org/wiki/Cotton
coffee,https://en.wikipedia.org/wiki/Coffee
natural rubber,https://en.wikipedia.org/wiki/Natural_rubber
CEMAC,https://en.wikipedia.org/wiki/CEMAC
microfinance,https://en.wikipedia.org/wiki/Microfinance
Paris,https://en.wikipedia.org/wiki/Paris
Switzerland,https://en.wikipedia.org/wiki/Switzerland
New York,https://en.wikipedia.org/wiki/New_York_City
Paris Club,https://en.wikipedia.org/wiki/Paris_Club
Enhanced Structural Adjustment Facility,https://en.wikipedia.org/wiki/Enhanced_Structural_Adjustment_Facility
privatization,https://en.wikipedia.org/wiki/Privatization
monopolies,https://en.wikipedia.org/wiki/Monopoly
banking,https://en.wikipedia.org/wiki/Banking
France,https://en.wikipedia.org/wiki/France
foreign aid,https://en.wikipedia.org/wiki/Foreign_aid
United States,https://en.wikipedia.org/wiki/United_States
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
civil service,https://en.wikipedia.org/wiki/Civil_service
CFA franc,https://en.wikipedia.org/wiki/CFA_franc
Douala,https://en.wikipedia.org/wiki/Douala
Limbe,"https://en.wikipedia.org/wiki/Limbe,_Cameroon"
Yaoundé,https://en.wikipedia.org/wiki/Yaound%C3%A9
Fulani,https://en.wikipedia.org/wiki/Fula_people
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Transport in Cameroon,https://en.wikipedia.org/wiki/Transport_in_Cameroon
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
The World Factbook,https://en.wikipedia.org/wiki/The_World_Factbook
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
World Bank,https://en.wikipedia.org/wiki/World_Bank
World Bank,https://en.wikipedia.org/wiki/World_Bank
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
World Bank,https://en.wikipedia.org/wiki/World_Bank
World Bank,https://en.wikipedia.org/wiki/World_Bank
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
