text,url
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
subsistence agriculture,https://en.wikipedia.org/wiki/Subsistence_agriculture
industry,https://en.wikipedia.org/wiki/Industrial_sector
services,https://en.wikipedia.org/wiki/Service_sector
soils,https://en.wikipedia.org/wiki/Soil
infrastructure,https://en.wikipedia.org/wiki/Infrastructure
export,https://en.wikipedia.org/wiki/Export
natural resources,https://en.wikipedia.org/wiki/Natural_resource
soil,https://en.wikipedia.org/wiki/Soil
macroeconomic,https://en.wikipedia.org/wiki/Macroeconomics
non-bank financial institutions,https://en.wikipedia.org/wiki/Non-bank_financial_institution
man-hour,https://en.wikipedia.org/wiki/Man-hour
structural adjustment program,https://en.wikipedia.org/wiki/Structural_adjustment_program
mineral,https://en.wikipedia.org/wiki/Mineral
agricultural and livestock sectors,https://en.wikipedia.org/wiki/Agriculture
cereals,https://en.wikipedia.org/wiki/Cereal
Sahara,https://en.wikipedia.org/wiki/Sahara
water resources,https://en.wikipedia.org/wiki/Water_resources
soil erosion,https://en.wikipedia.org/wiki/Erosion
pearl millet,https://en.wikipedia.org/wiki/Pearl_millet
sorghum,https://en.wikipedia.org/wiki/Sorghum
maize,https://en.wikipedia.org/wiki/Maize
rice,https://en.wikipedia.org/wiki/Rice
cotton,https://en.wikipedia.org/wiki/Cotton
groundnuts,https://en.wikipedia.org/wiki/Peanut
karite (shea nuts),https://en.wikipedia.org/wiki/Shea_nut
sesame,https://en.wikipedia.org/wiki/Sesame
sorghum,https://en.wikipedia.org/wiki/Sorghum
maize,https://en.wikipedia.org/wiki/Maize
millet,https://en.wikipedia.org/wiki/Millet
cowpea,https://en.wikipedia.org/wiki/Cowpea
sugar cane,https://en.wikipedia.org/wiki/Sugar_cane
cotton,https://en.wikipedia.org/wiki/Cotton
peanut,https://en.wikipedia.org/wiki/Peanut
sesame seed,https://en.wikipedia.org/wiki/Sesame_seed
vegetable,https://en.wikipedia.org/wiki/Vegetable
rice,https://en.wikipedia.org/wiki/Rice
cashew nuts,https://en.wikipedia.org/wiki/Cashew_nuts
Bobo-Dioulasso,https://en.wikipedia.org/wiki/Bobo-Dioulasso
Ouagadougou,https://en.wikipedia.org/wiki/Ouagadougou
Banfora,https://en.wikipedia.org/wiki/Banfora
Koudougou,https://en.wikipedia.org/wiki/Koudougou
food processing,https://en.wikipedia.org/wiki/Food_processing
textiles,https://en.wikipedia.org/wiki/Textile
tariffs,https://en.wikipedia.org/wiki/Tariffs
factories,https://en.wikipedia.org/wiki/Factory
manganese,https://en.wikipedia.org/wiki/Manganese
ore,https://en.wikipedia.org/wiki/Ore
Gold,https://en.wikipedia.org/wiki/Gold
U.S. Department of Labor,https://en.wikipedia.org/wiki/U.S._Department_of_Labor
ChildFund Alliance,https://en.wikipedia.org/wiki/ChildFund_Alliance
Agriculture in Burkina Faso,https://en.wikipedia.org/wiki/Agriculture_in_Burkina_Faso
List of companies based in Burkina Faso,https://en.wikipedia.org/wiki/List_of_companies_based_in_Burkina_Faso
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
List of banks in Burkina Faso,https://en.wikipedia.org/wiki/List_of_banks_in_Burkina_Faso
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
The World Factbook,https://en.wikipedia.org/wiki/The_World_Factbook
The World Factbook,https://en.wikipedia.org/wiki/The_World_Factbook
CIA,https://en.wikipedia.org/wiki/CIA
