text,url
Iran,https://en.wikipedia.org/wiki/Iran
mixed,https://en.wikipedia.org/wiki/Mixed_economy
centrally planned economy,https://en.wikipedia.org/wiki/Centrally_planned_economy
public sector,https://en.wikipedia.org/wiki/Public_sector
40 industries,https://en.wikipedia.org/wiki/Industry_of_Iran
Tehran Stock Exchange,https://en.wikipedia.org/wiki/Tehran_Stock_Exchange
proven oil reserves,https://en.wikipedia.org/wiki/Iran%27s_oil_reserves
gas reserves,https://en.wikipedia.org/wiki/Iran%27s_Natural_Gas_Reserves
energy superpower,https://en.wikipedia.org/wiki/Energy_superpower
energy crisis,https://en.wikipedia.org/wiki/Iranian_energy_crisis
bonyads,https://en.wikipedia.org/wiki/Bonyad
central government spending,https://en.wikipedia.org/wiki/Government_of_Iran#Expenditures
Iranian subsidy reform plan,https://en.wikipedia.org/wiki/Iranian_subsidy_reform_plan
energy,https://en.wikipedia.org/wiki/Energy_in_Iran
Contraband,https://en.wikipedia.org/wiki/Smuggling_in_Iran
widespread corruption,https://en.wikipedia.org/wiki/Corruption_in_Iran
private sector-led growth,https://en.wikipedia.org/wiki/Privatization_in_Iran
progress in science and technology,https://en.wikipedia.org/wiki/Science_in_Iran
oil and gas,https://en.wikipedia.org/wiki/Petroleum_industry_in_Iran
government revenue,https://en.wikipedia.org/wiki/Government_of_Iran#Revenues
Ebrahim Raisi,https://en.wikipedia.org/wiki/Ebrahim_Raisi
from Russia,https://en.wikipedia.org/wiki/Iran%E2%80%93Russia_relations
educated population,https://en.wikipedia.org/wiki/Education_in_Iran
high human development,https://en.wikipedia.org/wiki/List_of_countries_by_Human_Development_Index#High_human_development
foreign and domestic investment,https://en.wikipedia.org/wiki/Foreign_Direct_Investment_in_Iran
Iranians,https://en.wikipedia.org/wiki/Iranian_peoples
brain drain,https://en.wikipedia.org/wiki/Iran%27s_brain_drain
P5+1,https://en.wikipedia.org/wiki/P5%2B1
deal on the nuclear program,https://en.wikipedia.org/wiki/Joint_Comprehensive_Plan_of_Action
international sanctions,https://en.wikipedia.org/wiki/Sanctions_against_Iran
the tourism industry,https://en.wikipedia.org/wiki/Tourism_in_Iran
US withdrawal from the JCPOA,https://en.wikipedia.org/wiki/United_States_withdrawal_from_the_Joint_Comprehensive_Plan_of_Action
COVID-19 outbreak,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Iran
US sanctions,https://en.wikipedia.org/wiki/US_sanctions_against_Iran
food inflation,https://en.wikipedia.org/wiki/Food_inflation_in_Iran
banking system,https://en.wikipedia.org/wiki/Banking_in_Iran
corruption,https://en.wikipedia.org/wiki/Wealth_of_Khamenei_family
Iranian rial,https://en.wikipedia.org/wiki/Iranian_rial
Economic Freedom,https://en.wikipedia.org/wiki/Economic_Freedom
ease of doing business,https://en.wikipedia.org/wiki/Ease_of_doing_business
Achaemenid,https://en.wikipedia.org/wiki/Achaemenid
gold coin,https://en.wikipedia.org/wiki/Gold_coin
Croesus,https://en.wikipedia.org/wiki/Croesus
Lydia,https://en.wikipedia.org/wiki/Lydia
Persians,https://en.wikipedia.org/wiki/Persia
gold,https://en.wikipedia.org/wiki/Gold
Book of Esther,https://en.wikipedia.org/wiki/Book_of_Esther
Kingdom of Kush,https://en.wikipedia.org/wiki/Kingdom_of_Kush
Xerxes the Great,https://en.wikipedia.org/wiki/Xerxes_I_of_Persia
Herodotus,https://en.wikipedia.org/wiki/Herodotus
Royal Road,https://en.wikipedia.org/wiki/Royal_Road
Persian Empire,https://en.wikipedia.org/wiki/Persian_Empire
Susa,https://en.wikipedia.org/wiki/Susa
İzmir,https://en.wikipedia.org/wiki/%C4%B0zmir
Turkey,https://en.wikipedia.org/wiki/Turkey
Aegean Sea,https://en.wikipedia.org/wiki/Aegean_Sea
agriculture in Iran,https://en.wikipedia.org/wiki/Agriculture_in_Iran
Amir Kabir,https://en.wikipedia.org/wiki/Amir_Kabir
Polyakov,https://en.wikipedia.org/wiki/Lazar_Polyakov
Tsarist government of Russia,https://en.wikipedia.org/wiki/Imperial_Russia
Keshavarzi Bank,https://en.wikipedia.org/wiki/Keshavarzi_Bank
Imperial Bank of Persia,https://en.wikipedia.org/wiki/Imperial_Bank_of_Persia
Reza Shah Pahlavi,https://en.wikipedia.org/wiki/Reza_Shah_Pahlavi
Mohammad Reza Shah Pahlavi,https://en.wikipedia.org/wiki/Mohammad_Reza_Shah_Pahlavi
economy of Iran during World War II,https://en.wikipedia.org/wiki/Economic_history_of_Iran#Pahlavi_Era_(1925–79)
capital flight,https://en.wikipedia.org/wiki/Flight_of_capital
revolution,https://en.wikipedia.org/wiki/Iranian_Revolution
Iran–Iraq War,https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War
communication,https://en.wikipedia.org/wiki/Communications_in_Iran
transportation,https://en.wikipedia.org/wiki/Transport_in_Iran
health care,https://en.wikipedia.org/wiki/Health_care_in_Iran
education,https://en.wikipedia.org/wiki/Education_in_Iran
nuclear power facilities,https://en.wikipedia.org/wiki/Iran%27s_Nuclear_Program
The government,https://en.wikipedia.org/wiki/Government_of_Iran
economic independence,https://en.wikipedia.org/wiki/Independence
full employment,https://en.wikipedia.org/wiki/Full_employment
Iran's population,https://en.wikipedia.org/wiki/Demographics_of_Iran
people moving to cities,https://en.wikipedia.org/wiki/Urbanization
Provinces of Iran,https://en.wikipedia.org/wiki/Provinces_of_Iran
Socioeconomic expenditures,https://en.wikipedia.org/wiki/Government_of_Iran#Expenditures
Inflation rate,https://en.wikipedia.org/wiki/Central_Bank_of_Iran#Inflation_and_monetary_policy
Market liquidity,https://en.wikipedia.org/wiki/Central_Bank_of_Iran#Money_supply
CPI,https://en.wikipedia.org/wiki/Consumer_Price_Index
broad money,https://en.wikipedia.org/wiki/Central_Bank_of_Iran#Money_supply
foreign exchange reserves,https://en.wikipedia.org/wiki/Central_Bank_of_Iran#Foreign_reserves
US dollar,https://en.wikipedia.org/wiki/US_dollar
Iranian rial,https://en.wikipedia.org/wiki/Iranian_rial
Debt service,https://en.wikipedia.org/wiki/Central_Bank_of_Iran#Foreign_exposure_and_transactions
Balance of payment,https://en.wikipedia.org/wiki/Balance_of_payment
TEPIX,https://en.wikipedia.org/wiki/Tehran_Stock_Exchange#Indices
DJIA,https://en.wikipedia.org/wiki/DJIA
oil prices,https://en.wikipedia.org/wiki/Oil_prices
Oil production and consumption,https://en.wikipedia.org/wiki/Petroleum_industry_in_Iran
Oil and gas production,https://en.wikipedia.org/wiki/Petroleum_industry_in_Iran
Iran's national science,https://en.wikipedia.org/wiki/Science_in_Iran
research and development,https://en.wikipedia.org/wiki/Science_in_Iran#Research_expenditure
industrial base,https://en.wikipedia.org/wiki/Industry_of_Iran
The Economist,https://en.wikipedia.org/wiki/The_Economist
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
international sanctions have damaged the economy,https://en.wikipedia.org/wiki/Sanctions_against_Iran
oil exports,https://en.wikipedia.org/wiki/Ministry_of_Petroleum_(Iran)#Revenues_from_crude_oil
Iranian rial,https://en.wikipedia.org/wiki/Iranian_rial
import substitution industrialization,https://en.wikipedia.org/wiki/Import_substitution_industrialization
resistive economy,https://en.wikipedia.org/wiki/Resistive_economy
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
transition economy,https://en.wikipedia.org/wiki/Transition_economy
United Nations,https://en.wikipedia.org/wiki/United_Nations
World Economic Forum,https://en.wikipedia.org/wiki/World_Economic_Forum
global competitiveness of 144 countries,https://en.wikipedia.org/wiki/Global_Competitiveness_Report
accessing financing,https://en.wikipedia.org/wiki/Banking_in_Iran
small and medium enterprises,https://en.wikipedia.org/wiki/Industry_of_Iran#Small_and_medium_enterprises
smuggling,https://en.wikipedia.org/wiki/Smuggling_in_Iran
Goldman Sachs,https://en.wikipedia.org/wiki/Goldman_Sachs
Hassan Rouhani,https://en.wikipedia.org/wiki/Hassan_Rouhani
ten largest economies,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)
Iranian industrialists,https://en.wikipedia.org/wiki/Industry_of_Iran
not supporting them by authorizing imports of similar parts or products into the country,https://en.wikipedia.org/wiki/Taxation_in_Iran#Protectionism_and_dumping
due to corrupt interests,https://en.wikipedia.org/wiki/Corruption_in_Iran
