text,url
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
Solomon Islands,https://en.wikipedia.org/wiki/Solomon_Islands
subsistence,https://en.wikipedia.org/wiki/Subsistence_economy
fish,https://en.wikipedia.org/wiki/Fish
Honiara,https://en.wikipedia.org/wiki/Honiara
tropical timber,https://en.wikipedia.org/wiki/Tropical_timber
overexploited,https://en.wikipedia.org/wiki/Overexploited
Asian financial crisis,https://en.wikipedia.org/wiki/Asian_financial_crisis
Asian Development Bank,https://en.wikipedia.org/wiki/Asian_Development_Bank
palm oil,https://en.wikipedia.org/wiki/Palm_oil
copra,https://en.wikipedia.org/wiki/Copra
palm oil,https://en.wikipedia.org/wiki/Palm_oil
Japanese,https://en.wikipedia.org/wiki/Japan
country,https://en.wikipedia.org/wiki/Country
(international dollars),https://en.wikipedia.org/wiki/International_dollar
infrastructure,https://en.wikipedia.org/wiki/Infrastructure
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Solomon Islands government,https://en.wikipedia.org/wiki/Politics_of_Solomon_Islands
Australia,https://en.wikipedia.org/wiki/Australia
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
European Union,https://en.wikipedia.org/wiki/European_Union
Japan,https://en.wikipedia.org/wiki/Japan
Republic of China,https://en.wikipedia.org/wiki/Republic_of_China
WTO,https://en.wikipedia.org/wiki/WTO
Pacific Islands Applied Geoscience Commission,https://en.wikipedia.org/wiki/Pacific_Islands_Applied_Geoscience_Commission
Renewable Energy and Energy Efficiency Partnership,https://en.wikipedia.org/wiki/Renewable_Energy_and_Energy_Efficiency_Partnership
agriculture,https://en.wikipedia.org/wiki/Agriculture
industry,https://en.wikipedia.org/wiki/Industrial_sector
services,https://en.wikipedia.org/wiki/Service_Sector
poverty line,https://en.wikipedia.org/wiki/Poverty_line
Inflation,https://en.wikipedia.org/wiki/Inflation
Unemployment rate,https://en.wikipedia.org/wiki/Unemployment_rate
Budget,https://en.wikipedia.org/wiki/Budget
tuna,https://en.wikipedia.org/wiki/Tuna
cocoa,https://en.wikipedia.org/wiki/Cocoa_bean
coconuts,https://en.wikipedia.org/wiki/Coconut
rice,https://en.wikipedia.org/wiki/Rice
potatoes,https://en.wikipedia.org/wiki/Potato
palm oil,https://en.wikipedia.org/wiki/Palm_oil
cocoa,https://en.wikipedia.org/wiki/Cocoa_bean
copra,https://en.wikipedia.org/wiki/Copra
China,https://en.wikipedia.org/wiki/China
Australia,https://en.wikipedia.org/wiki/Australia
Thailand,https://en.wikipedia.org/wiki/Thailand
Australia,https://en.wikipedia.org/wiki/Australia
Singapore,https://en.wikipedia.org/wiki/Singapore
China,https://en.wikipedia.org/wiki/China
Malaysia,https://en.wikipedia.org/wiki/Malaysia
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Currency,https://en.wikipedia.org/wiki/Currency
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
